col,statistic,p-value
Line_Chart&reVLAT_NoVizChoices,1.0,3.3358599511910646e-165
retrieve_value&reVLAT_NoVizChoices,0.0,3.325859118934513e-165
Line_Chart&retrieve_value&reVLAT_NoVizChoices,0.0,3.325859118934513e-165
Line_Chart&find_extremum,30481.0,7.146880375009022e-128
find_extremum,0.0,3.325859118934513e-165
find_extremum&ChatGPT,0.0,3.325859118934513e-165
Line_Chart&find_extremum&ChatGPT,150540.0,9.82710104154635e-28
find_extremum&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
Line_Chart&find_extremum&reVLAT_VizChoices&ChatGPT,215810.0,0.000163322341193755
find_extremum&reVLAT_NoVizChoices&ChatGPT,52958.0,1.956073126801455e-103
Line_Chart&find_extremum&reVLAT_NoVizChoices&ChatGPT,38122.0,2.8569510394081936e-119
find_extremum&Gemini,0.0,3.325859118934513e-165
Line_Chart&find_extremum&Gemini,173187.0,3.2978326505063834e-17
find_extremum&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
Line_Chart&find_extremum&reVLAT_VizChoices&Gemini,249651.0,0.9477217757690415
find_extremum&reVLAT_NoVizChoices&Gemini,4100.0,6.675349696598914e-160
Line_Chart&find_extremum&reVLAT_NoVizChoices&Gemini,237302.0,0.1563895687208133
find_extremum&reVLAT_VizChoices,0.0,3.325859118934513e-165
Line_Chart&find_extremum&reVLAT_VizChoices,244410.0,0.522653466078927
find_extremum&reVLAT_NoVizChoices,58685.0,1.2543808694400122e-97
Line_Chart&find_extremum&reVLAT_NoVizChoices,19162.0,3.584423962486166e-141
Line_Chart&determine_range,0.0,3.325859118934513e-165
determine_range,159831.0,4.268859321005827e-23
determine_range&ChatGPT,0.0,3.325859118934513e-165
Line_Chart&determine_range&ChatGPT,0.0,3.325859118934513e-165
determine_range&reVLAT_VizChoices&ChatGPT,33789.0,4.123779756927073e-124
Line_Chart&determine_range&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
determine_range&reVLAT_NoVizChoices&ChatGPT,6180.0,3.02801809365544e-157
Line_Chart&determine_range&reVLAT_NoVizChoices&ChatGPT,0.0,3.325859118934513e-165
determine_range&Gemini,0.0,3.325859118934513e-165
Line_Chart&determine_range&Gemini,83.0,4.266923847725485e-165
determine_range&reVLAT_VizChoices&Gemini,12281.0,1.3931288426813878e-149
Line_Chart&determine_range&reVLAT_VizChoices&Gemini,1.0,3.3358599511910646e-165
determine_range&reVLAT_NoVizChoices&Gemini,13.0,3.4582384173171967e-165
Line_Chart&determine_range&reVLAT_NoVizChoices&Gemini,0.0,3.325859118934513e-165
determine_range&reVLAT_VizChoices,191459.0,1.231445128389094e-10
Line_Chart&determine_range&reVLAT_VizChoices,5190.0,1.6576111222377443e-158
determine_range&reVLAT_NoVizChoices,139278.0,5.93179673301419e-34
Line_Chart&determine_range&reVLAT_NoVizChoices,0.0,3.325859118934513e-165
Line_Chart&find_correlations_trends,0.0,3.325859118934513e-165
find_correlations_trends,0.0,3.325859118934513e-165
find_correlations_trends&ChatGPT,1.0,3.3358599511910646e-165
Line_Chart&find_correlations_trends&ChatGPT,0.0,3.325859118934513e-165
find_correlations_trends&reVLAT_VizChoices&ChatGPT,17.0,3.5000195640183923e-165
Line_Chart&find_correlations_trends&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
find_correlations_trends&reVLAT_NoVizChoices&ChatGPT,174604.0,1.2276832398625223e-16
Line_Chart&find_correlations_trends&reVLAT_NoVizChoices&ChatGPT,0.0,3.325859118934513e-165
find_correlations_trends&Gemini,89272.0,1.6985005344941324e-69
Line_Chart&find_correlations_trends&Gemini,0.0,3.325859118934513e-165
find_correlations_trends&reVLAT_VizChoices&Gemini,2851.0,1.6534176761593325e-161
Line_Chart&find_correlations_trends&reVLAT_VizChoices&Gemini,1.0,3.3358599511910646e-165
find_correlations_trends&reVLAT_NoVizChoices&Gemini,14787.0,1.7198041789874489e-146
Line_Chart&find_correlations_trends&reVLAT_NoVizChoices&Gemini,0.0,3.325859118934513e-165
find_correlations_trends&reVLAT_VizChoices,0.0,3.325859118934513e-165
Line_Chart&find_correlations_trends&reVLAT_VizChoices,0.0,3.325859118934513e-165
find_correlations_trends&reVLAT_NoVizChoices,4076.0,6.218544797115472e-160
Line_Chart&find_correlations_trends&reVLAT_NoVizChoices,0.0,3.325859118934513e-165
Line_Chart&make_comparisons,293.0,8.012019321620017e-165
make_comparisons,0.0,3.325859118934513e-165
make_comparisons&ChatGPT,0.0,3.325859118934513e-165
Line_Chart&make_comparisons&ChatGPT,34086.0,8.916656188756202e-124
make_comparisons&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
Line_Chart&make_comparisons&reVLAT_VizChoices&ChatGPT,95324.0,1.663306662060689e-64
make_comparisons&reVLAT_NoVizChoices&ChatGPT,0.0,3.325859118934513e-165
Line_Chart&make_comparisons&reVLAT_NoVizChoices&ChatGPT,222038.0,0.0020140424826014516
make_comparisons&Gemini,11.0,3.437535005362265e-165
Line_Chart&make_comparisons&Gemini,92311.0,5.754207828719511e-67
make_comparisons&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
Line_Chart&make_comparisons&reVLAT_VizChoices&Gemini,126377.0,6.966770302052045e-42
make_comparisons&reVLAT_NoVizChoices&Gemini,1.0,3.3358599511910646e-165
Line_Chart&make_comparisons&reVLAT_NoVizChoices&Gemini,231805.0,0.04348365439265067
make_comparisons&reVLAT_VizChoices,1.0,3.3358599511910646e-165
Line_Chart&make_comparisons&reVLAT_VizChoices,6092.0,2.3399993892235062e-157
make_comparisons&reVLAT_NoVizChoices,701.0,2.7208535814997655e-164
Line_Chart&make_comparisons&reVLAT_NoVizChoices,241155.0,0.3194636412949243
Bar_Chart&retrieve_value,0.0,3.325859118934513e-165
Bar_Chart,2638.0,8.783676641268841e-162
Bar_Chart&ChatGPT,96.0,4.43670309682529e-165
Bar_Chart&retrieve_value&ChatGPT,0.0,3.325859118934513e-165
Bar_Chart&reVLAT_VizChoices&ChatGPT,94159.0,1.883629149809557e-65
Bar_Chart&retrieve_value&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
Bar_Chart&reVLAT_NoVizChoices&ChatGPT,1651.0,4.652263574626531e-163
Bar_Chart&retrieve_value&reVLAT_NoVizChoices&ChatGPT,0.0,3.325859118934513e-165
Bar_Chart&Gemini,83358.0,1.4771354300404636e-74
Bar_Chart&retrieve_value&Gemini,54925.0,2.018731399258965e-101
Bar_Chart&reVLAT_VizChoices&Gemini,141190.0,7.503091671992935e-33
Bar_Chart&retrieve_value&reVLAT_VizChoices&Gemini,8357.0,1.728451286086179e-154
Bar_Chart&reVLAT_NoVizChoices&Gemini,25142.0,4.61091163561897e-134
Bar_Chart&retrieve_value&reVLAT_NoVizChoices&Gemini,1345.0,1.866524661188519e-163
Bar_Chart&reVLAT_VizChoices,35834.0,8.166155363562588e-122
Bar_Chart&retrieve_value&reVLAT_VizChoices,0.0,3.325859118934513e-165
Bar_Chart&reVLAT_NoVizChoices,160578.0,9.635348031850303e-23
Bar_Chart&retrieve_value&reVLAT_NoVizChoices,0.0,3.325859118934513e-165
Bar_Chart&find_extremum,0.0,3.325859118934513e-165
Bar_Chart&find_extremum&ChatGPT,0.0,3.325859118934513e-165
Bar_Chart&find_extremum&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
Bar_Chart&find_extremum&reVLAT_NoVizChoices&ChatGPT,0.0,3.325859118934513e-165
Bar_Chart&find_extremum&Gemini,177094.0,1.1674761393330342e-15
Bar_Chart&find_extremum&reVLAT_VizChoices&Gemini,31536.0,1.1476772273670984e-126
Bar_Chart&find_extremum&reVLAT_NoVizChoices&Gemini,26013.0,4.828149171115626e-133
Bar_Chart&find_extremum&reVLAT_VizChoices,152.0,5.248633134998413e-165
Bar_Chart&find_extremum&reVLAT_NoVizChoices,8346.0,1.674136802214853e-154
Bar_Chart&determine_range,0.0,3.325859118934513e-165
Bar_Chart&determine_range&ChatGPT,0.0,3.325859118934513e-165
Bar_Chart&determine_range&reVLAT_VizChoices&ChatGPT,2818.0,1.4991251467665026e-161
Bar_Chart&determine_range&reVLAT_NoVizChoices&ChatGPT,0.0,3.325859118934513e-165
Bar_Chart&determine_range&Gemini,0.0,3.325859118934513e-165
Bar_Chart&determine_range&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
Bar_Chart&determine_range&reVLAT_NoVizChoices&Gemini,16566.0,2.5722313392172916e-144
Bar_Chart&determine_range&reVLAT_VizChoices,0.0,3.325859118934513e-165
Bar_Chart&determine_range&reVLAT_NoVizChoices,0.0,3.325859118934513e-165
Bar_Chart&make_comparisons,21323.0,1.3963009881009162e-138
Bar_Chart&make_comparisons&ChatGPT,8969.0,1.0188998512349878e-153
Bar_Chart&make_comparisons&reVLAT_VizChoices&ChatGPT,2268.0,2.9236582871694953e-162
Bar_Chart&make_comparisons&reVLAT_NoVizChoices&ChatGPT,87204.0,3.0275847262438585e-71
Bar_Chart&make_comparisons&Gemini,5801.0,9.971372888267096e-158
Bar_Chart&make_comparisons&reVLAT_VizChoices&Gemini,21107.0,7.711419651493016e-139
Bar_Chart&make_comparisons&reVLAT_NoVizChoices&Gemini,189788.0,3.6331197352823665e-11
Bar_Chart&make_comparisons&reVLAT_VizChoices,102082.0,3.7121323981247584e-59
Bar_Chart&make_comparisons&reVLAT_NoVizChoices,194272.0,8.927775624292714e-10
Stacked_Bar_Chart&retrieve_value,0.0,3.325859118934513e-165
Stacked_Bar_Chart,0.0,3.325859118934513e-165
Stacked_Bar_Chart&ChatGPT,0.0,3.325859118934513e-165
Stacked_Bar_Chart&retrieve_value&ChatGPT,1643.0,4.54256425742893e-163
Stacked_Bar_Chart&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
Stacked_Bar_Chart&retrieve_value&reVLAT_VizChoices&ChatGPT,2386.0,4.1530513696955983e-162
Stacked_Bar_Chart&reVLAT_NoVizChoices&ChatGPT,0.0,3.325859118934513e-165
Stacked_Bar_Chart&retrieve_value&reVLAT_NoVizChoices&ChatGPT,22.0,3.5529556066938104e-165
Stacked_Bar_Chart&Gemini,0.0,3.325859118934513e-165
Stacked_Bar_Chart&retrieve_value&Gemini,1975.0,1.2220689814787502e-162
Stacked_Bar_Chart&reVLAT_VizChoices&Gemini,150453.0,8.848954008067345e-28
Stacked_Bar_Chart&retrieve_value&reVLAT_VizChoices&Gemini,22660.0,5.439965922205871e-137
Stacked_Bar_Chart&reVLAT_NoVizChoices&Gemini,0.0,3.325859118934513e-165
Stacked_Bar_Chart&retrieve_value&reVLAT_NoVizChoices&Gemini,146988.0,1.2636611987750212e-29
Stacked_Bar_Chart&reVLAT_VizChoices,3.0,3.3559518029314626e-165
Stacked_Bar_Chart&retrieve_value&reVLAT_VizChoices,29731.0,9.850658380765545e-129
Stacked_Bar_Chart&reVLAT_NoVizChoices,139012.0,4.153073013955378e-34
Stacked_Bar_Chart&retrieve_value&reVLAT_NoVizChoices,0.0,3.325859118934513e-165
Stacked_Bar_Chart&find_extremum,123473.0,8.693772058747242e-44
Stacked_Bar_Chart&find_extremum&ChatGPT,0.0,3.325859118934513e-165
Stacked_Bar_Chart&find_extremum&reVLAT_VizChoices&ChatGPT,1928.0,1.0623952102242021e-162
Stacked_Bar_Chart&find_extremum&reVLAT_NoVizChoices&ChatGPT,1220.0,1.2849062715777865e-163
Stacked_Bar_Chart&find_extremum&Gemini,0.0,3.325859118934513e-165
Stacked_Bar_Chart&find_extremum&reVLAT_VizChoices&Gemini,94312.0,2.509761777321735e-65
Stacked_Bar_Chart&find_extremum&reVLAT_NoVizChoices&Gemini,3626.0,1.6440348753710084e-160
Stacked_Bar_Chart&find_extremum&reVLAT_VizChoices,15052.0,3.634832077622186e-146
Stacked_Bar_Chart&find_extremum&reVLAT_NoVizChoices,151534.0,3.2350821297561864e-27
Stacked_Bar_Chart&make_comparisons,18501.0,5.717170844459869e-142
Stacked_Bar_Chart&make_comparisons&ChatGPT,0.0,3.325859118934513e-165
Stacked_Bar_Chart&make_comparisons&reVLAT_VizChoices&ChatGPT,67860.0,1.1136064509952939e-88
Stacked_Bar_Chart&make_comparisons&reVLAT_NoVizChoices&ChatGPT,0.0,3.325859118934513e-165
Stacked_Bar_Chart&make_comparisons&Gemini,13.0,3.4582384173171967e-165
Stacked_Bar_Chart&make_comparisons&reVLAT_VizChoices&Gemini,168696.0,4.373297807209947e-19
Stacked_Bar_Chart&make_comparisons&reVLAT_NoVizChoices&Gemini,37930.0,1.7517619309462542e-119
Stacked_Bar_Chart&make_comparisons&reVLAT_VizChoices,12899.0,8.11724508329116e-149
Stacked_Bar_Chart&make_comparisons&reVLAT_NoVizChoices,6130.0,2.6155292629941234e-157
OneHundred_Stacked_Bar_Chart&retrieve_value,0.0,3.325859118934513e-165
OneHundred_Stacked_Bar_Chart,0.0,3.325859118934513e-165
OneHundred_Stacked_Bar_Chart&ChatGPT,0.0,3.325859118934513e-165
OneHundred_Stacked_Bar_Chart&retrieve_value&ChatGPT,0.0,3.325859118934513e-165
OneHundred_Stacked_Bar_Chart&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
OneHundred_Stacked_Bar_Chart&retrieve_value&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
OneHundred_Stacked_Bar_Chart&reVLAT_NoVizChoices&ChatGPT,0.0,3.325859118934513e-165
OneHundred_Stacked_Bar_Chart&retrieve_value&reVLAT_NoVizChoices&ChatGPT,0.0,3.325859118934513e-165
OneHundred_Stacked_Bar_Chart&Gemini,0.0,3.325859118934513e-165
OneHundred_Stacked_Bar_Chart&retrieve_value&Gemini,0.0,3.325859118934513e-165
OneHundred_Stacked_Bar_Chart&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
OneHundred_Stacked_Bar_Chart&retrieve_value&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
OneHundred_Stacked_Bar_Chart&reVLAT_NoVizChoices&Gemini,63094.0,2.8381546688350208e-93
OneHundred_Stacked_Bar_Chart&retrieve_value&reVLAT_NoVizChoices&Gemini,93900.0,1.1580617342405048e-65
OneHundred_Stacked_Bar_Chart&reVLAT_VizChoices,154376.0,9.146440397516567e-26
OneHundred_Stacked_Bar_Chart&retrieve_value&reVLAT_VizChoices,11203.0,6.369359345435686e-151
OneHundred_Stacked_Bar_Chart&reVLAT_NoVizChoices,0.0,3.325859118934513e-165
OneHundred_Stacked_Bar_Chart&retrieve_value&reVLAT_NoVizChoices,603.0,2.0288448490041204e-164
OneHundred_Stacked_Bar_Chart&find_extremum,0.0,3.325859118934513e-165
OneHundred_Stacked_Bar_Chart&find_extremum&ChatGPT,0.0,3.325859118934513e-165
OneHundred_Stacked_Bar_Chart&find_extremum&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
OneHundred_Stacked_Bar_Chart&find_extremum&reVLAT_NoVizChoices&ChatGPT,0.0,3.325859118934513e-165
OneHundred_Stacked_Bar_Chart&find_extremum&Gemini,161258.0,2.0100727378436603e-22
OneHundred_Stacked_Bar_Chart&find_extremum&reVLAT_VizChoices&Gemini,138784.0,3.057583957370225e-34
OneHundred_Stacked_Bar_Chart&find_extremum&reVLAT_NoVizChoices&Gemini,248751.0,0.8696648875598897
OneHundred_Stacked_Bar_Chart&find_extremum&reVLAT_VizChoices,35653.0,5.124061489879619e-122
OneHundred_Stacked_Bar_Chart&find_extremum&reVLAT_NoVizChoices,1.0,3.3358599511910646e-165
OneHundred_Stacked_Bar_Chart&make_comparisons,0.0,3.325859118934513e-165
OneHundred_Stacked_Bar_Chart&make_comparisons&ChatGPT,0.0,3.325859118934513e-165
OneHundred_Stacked_Bar_Chart&make_comparisons&reVLAT_VizChoices&ChatGPT,3985.0,4.752631616612781e-160
OneHundred_Stacked_Bar_Chart&make_comparisons&reVLAT_NoVizChoices&ChatGPT,25172.0,5.0001629574985665e-134
OneHundred_Stacked_Bar_Chart&make_comparisons&Gemini,5394.0,3.01912400458835e-158
OneHundred_Stacked_Bar_Chart&make_comparisons&reVLAT_VizChoices&Gemini,125334.0,1.45975159567966e-42
OneHundred_Stacked_Bar_Chart&make_comparisons&reVLAT_NoVizChoices&Gemini,33580.0,2.395222177608398e-124
OneHundred_Stacked_Bar_Chart&make_comparisons&reVLAT_VizChoices,13.0,3.4582384173171967e-165
OneHundred_Stacked_Bar_Chart&make_comparisons&reVLAT_NoVizChoices,937.0,5.5136096840569264e-164
Pie_Chart&retrieve_value,0.0,3.325859118934513e-165
Pie_Chart,0.0,3.325859118934513e-165
Pie_Chart&ChatGPT,0.0,3.325859118934513e-165
Pie_Chart&retrieve_value&ChatGPT,0.0,3.325859118934513e-165
Pie_Chart&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
Pie_Chart&retrieve_value&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
Pie_Chart&reVLAT_NoVizChoices&ChatGPT,0.0,3.325859118934513e-165
Pie_Chart&retrieve_value&reVLAT_NoVizChoices&ChatGPT,0.0,3.325859118934513e-165
Pie_Chart&Gemini,0.0,3.325859118934513e-165
Pie_Chart&retrieve_value&Gemini,0.0,3.325859118934513e-165
Pie_Chart&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
Pie_Chart&retrieve_value&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
Pie_Chart&reVLAT_NoVizChoices&Gemini,3.0,3.3559518029314626e-165
Pie_Chart&retrieve_value&reVLAT_NoVizChoices&Gemini,139300.0,6.109058312311683e-34
Pie_Chart&reVLAT_VizChoices,0.0,3.325859118934513e-165
Pie_Chart&retrieve_value&reVLAT_VizChoices,21272.0,1.2137266980988946e-138
Pie_Chart&reVLAT_NoVizChoices,178734.0,4.944546172907532e-15
Pie_Chart&retrieve_value&reVLAT_NoVizChoices,0.0,3.325859118934513e-165
Pie_Chart&find_extremum,0.0,3.325859118934513e-165
Pie_Chart&find_extremum&ChatGPT,0.0,3.325859118934513e-165
Pie_Chart&find_extremum&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
Pie_Chart&find_extremum&reVLAT_NoVizChoices&ChatGPT,0.0,3.325859118934513e-165
Pie_Chart&find_extremum&Gemini,30279.0,4.193744483311352e-128
Pie_Chart&find_extremum&reVLAT_VizChoices&Gemini,128111.0,9.09919922924141e-41
Pie_Chart&find_extremum&reVLAT_NoVizChoices&Gemini,51432.0,5.191835487204933e-105
Pie_Chart&find_extremum&reVLAT_VizChoices,0.0,3.325859118934513e-165
Pie_Chart&find_extremum&reVLAT_NoVizChoices,0.0,3.325859118934513e-165
Pie_Chart&make_comparisons,0.0,3.325859118934513e-165
Pie_Chart&make_comparisons&ChatGPT,0.0,3.325859118934513e-165
Pie_Chart&make_comparisons&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
Pie_Chart&make_comparisons&reVLAT_NoVizChoices&ChatGPT,0.0,3.325859118934513e-165
Pie_Chart&make_comparisons&Gemini,11368.0,1.0222878296467405e-150
Pie_Chart&make_comparisons&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
Pie_Chart&make_comparisons&reVLAT_NoVizChoices&Gemini,224990.0,0.005691918696984939
Pie_Chart&make_comparisons&reVLAT_VizChoices,134578.0,9.63439598738955e-37
Pie_Chart&make_comparisons&reVLAT_NoVizChoices,0.0,3.325859118934513e-165
Histogram&retrieve_value,0.0,3.325859118934513e-165
Histogram,100205.0,1.2817840751805879e-60
Histogram&ChatGPT,0.0,3.325859118934513e-165
Histogram&retrieve_value&ChatGPT,0.0,3.325859118934513e-165
Histogram&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
Histogram&retrieve_value&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
Histogram&reVLAT_NoVizChoices&ChatGPT,6094.0,2.353750057972173e-157
Histogram&retrieve_value&reVLAT_NoVizChoices&ChatGPT,0.0,3.325859118934513e-165
Histogram&Gemini,0.0,3.325859118934513e-165
Histogram&retrieve_value&Gemini,3.0,3.3559518029314626e-165
Histogram&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
Histogram&retrieve_value&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
Histogram&reVLAT_NoVizChoices&Gemini,34102.0,9.29460886106887e-124
Histogram&retrieve_value&reVLAT_NoVizChoices&Gemini,548.0,1.7206611560247322e-164
Histogram&reVLAT_VizChoices,207943.0,3.6385725464634565e-06
Histogram&retrieve_value&reVLAT_VizChoices,6.0,3.386316403653408e-165
Histogram&reVLAT_NoVizChoices,144179.0,3.632517958643919e-31
Histogram&retrieve_value&reVLAT_NoVizChoices,0.0,3.325859118934513e-165
Histogram&find_extremum,69380.0,3.0688816044410363e-87
Histogram&find_extremum&ChatGPT,700.0,2.7127192467908552e-164
Histogram&find_extremum&reVLAT_VizChoices&ChatGPT,14635.0,1.1191702710359197e-146
Histogram&find_extremum&reVLAT_NoVizChoices&ChatGPT,186.0,5.812341256039164e-165
Histogram&find_extremum&Gemini,0.0,3.325859118934513e-165
Histogram&find_extremum&reVLAT_VizChoices&Gemini,58905.0,2.0802123142172542e-97
Histogram&find_extremum&reVLAT_NoVizChoices&Gemini,14411.0,5.938997946677309e-147
Histogram&find_extremum&reVLAT_VizChoices,0.0,3.325859118934513e-165
Histogram&find_extremum&reVLAT_NoVizChoices,5426.0,3.3167147414570367e-158
Histogram&make_comparisons,0.0,3.325859118934513e-165
Histogram&make_comparisons&ChatGPT,0.0,3.325859118934513e-165
Histogram&make_comparisons&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
Histogram&make_comparisons&reVLAT_NoVizChoices&ChatGPT,41720.0,2.5193895802688057e-115
Histogram&make_comparisons&Gemini,0.0,3.325859118934513e-165
Histogram&make_comparisons&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
Histogram&make_comparisons&reVLAT_NoVizChoices&Gemini,120151.0,5.102778230373503e-46
Histogram&make_comparisons&reVLAT_VizChoices,0.0,3.325859118934513e-165
Histogram&make_comparisons&reVLAT_NoVizChoices,176569.0,7.305598763499945e-16
Scatterplot&retrieve_value,54549.0,8.350376118244972e-102
Scatterplot,0.0,3.325859118934513e-165
Scatterplot&ChatGPT,0.0,3.325859118934513e-165
Scatterplot&retrieve_value&ChatGPT,11.0,3.437535005362265e-165
Scatterplot&reVLAT_VizChoices&ChatGPT,994.0,6.5384667641061914e-164
Scatterplot&retrieve_value&reVLAT_VizChoices&ChatGPT,11339.0,9.407391560072572e-151
Scatterplot&reVLAT_NoVizChoices&ChatGPT,0.0,3.325859118934513e-165
Scatterplot&retrieve_value&reVLAT_NoVizChoices&ChatGPT,245959.0,0.6385670555168308
Scatterplot&Gemini,0.0,3.325859118934513e-165
Scatterplot&retrieve_value&Gemini,0.0,3.325859118934513e-165
Scatterplot&reVLAT_VizChoices&Gemini,39.0,3.738991351140911e-165
Scatterplot&retrieve_value&reVLAT_VizChoices&Gemini,88958.0,9.245598157956856e-70
Scatterplot&reVLAT_NoVizChoices&Gemini,0.0,3.325859118934513e-165
Scatterplot&retrieve_value&reVLAT_NoVizChoices&Gemini,257.0,7.192017943945208e-165
Scatterplot&reVLAT_VizChoices,0.0,3.325859118934513e-165
Scatterplot&retrieve_value&reVLAT_VizChoices,3537.0,1.263324109857653e-160
Scatterplot&reVLAT_NoVizChoices,4465.0,1.9601870370746533e-159
Scatterplot&retrieve_value&reVLAT_NoVizChoices,741.0,3.067000326032895e-164
Scatterplot&find_extremum,0.0,3.325859118934513e-165
Scatterplot&find_extremum&ChatGPT,161769.0,3.4803416109187943e-22
Scatterplot&find_extremum&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
Scatterplot&find_extremum&reVLAT_NoVizChoices&ChatGPT,7.0,3.396498786631857e-165
Scatterplot&find_extremum&Gemini,0.0,3.325859118934513e-165
Scatterplot&find_extremum&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
Scatterplot&find_extremum&reVLAT_NoVizChoices&Gemini,0.0,3.325859118934513e-165
Scatterplot&find_extremum&reVLAT_VizChoices,0.0,3.325859118934513e-165
Scatterplot&find_extremum&reVLAT_NoVizChoices,120921.0,1.698661082755749e-45
Scatterplot&determine_range,2471.0,5.347261719548633e-162
Scatterplot&determine_range&ChatGPT,51.0,3.8761378375043074e-165
Scatterplot&determine_range&reVLAT_VizChoices&ChatGPT,37806.0,1.2769691958800832e-119
Scatterplot&determine_range&reVLAT_NoVizChoices&ChatGPT,63609.0,9.017785302514106e-93
Scatterplot&determine_range&Gemini,0.0,3.325859118934513e-165
Scatterplot&determine_range&reVLAT_VizChoices&Gemini,2733.0,1.164734736673346e-161
Scatterplot&determine_range&reVLAT_NoVizChoices&Gemini,10423.0,6.773806664180098e-152
Scatterplot&determine_range&reVLAT_VizChoices,34604.0,3.4136473845150045e-123
Scatterplot&determine_range&reVLAT_NoVizChoices,186602.0,3.236235045843491e-12
Scatterplot&find_anomalies,0.0,3.325859118934513e-165
find_anomalies,0.0,3.325859118934513e-165
find_anomalies&ChatGPT,274.0,7.568236246930929e-165
Scatterplot&find_anomalies&ChatGPT,0.0,3.325859118934513e-165
find_anomalies&reVLAT_VizChoices&ChatGPT,3408.0,8.622464830136679e-161
Scatterplot&find_anomalies&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
find_anomalies&reVLAT_NoVizChoices&ChatGPT,78313.0,5.116304943639858e-79
