chartType,qNum,qType,qType_simple,numCorr,totalNum,percentCorr,expType,LLM
Histogram,2,Find Extremum (derived value),find extremum,15.0,120.0,0.125,reVLAT_Viz+Choices,Gemini
Histogram,3,Make Comparisons (derived value),make comparisons,0.0,120.0,0.0,reVLAT_Viz+Choices,Gemini
Scatterplot,1,Retrieve Value,retrieve value,59.0,120.0,0.49166666666666664,reVLAT_Viz+Choices,Gemini
Scatterplot,2,Find Extremum,find extremum,120.0,120.0,1.0,reVLAT_Viz+Choices,Gemini
Scatterplot,3,Determine Range,determine range,91.0,120.0,0.7583333333333333,reVLAT_Viz+Choices,Gemini
Scatterplot,4,Find Anomalies,find anomalies,0.0,120.0,0.0,reVLAT_Viz+Choices,Gemini
Scatterplot,5,Find Clusters,find clusters,60.0,120.0,0.5,reVLAT_Viz+Choices,Gemini
Scatterplot,6,Find Correlations/Trends,find correlations/trends,0.0,120.0,0.0,reVLAT_Viz+Choices,Gemini
Scatterplot,7,Make Comparisons,make comparisons,120.0,120.0,1.0,reVLAT_Viz+Choices,Gemini
Bubble Chart,1,Retrieve Value,retrieve value,18.0,120.0,0.15,reVLAT_Viz+Choices,Gemini
Bubble Chart,2,Find extremum,find extremum,13.0,120.0,0.10833333333333334,reVLAT_Viz+Choices,Gemini
Bubble Chart,3,Determine range,determine range,31.0,120.0,0.25833333333333336,reVLAT_Viz+Choices,Gemini
Bubble Chart,4,Find anomalies,find anomalies,7.0,120.0,0.058333333333333334,reVLAT_Viz+Choices,Gemini
Bubble Chart,5,Find clusters,find clusters,57.0,120.0,0.475,reVLAT_Viz+Choices,Gemini
Bubble Chart,6,Find correlations/trends,find correlations/trends,120.0,120.0,1.0,reVLAT_Viz+Choices,Gemini
Bubble Chart,7,Make comparisons,make comparisons,11.0,120.0,0.09166666666666666,reVLAT_Viz+Choices,Gemini
Area Chart,1,Retrieve Value,retrieve value,16.0,120.0,0.13333333333333333,reVLAT_Viz+Choices,Gemini
Area Chart,2,Find Extremum,find extremum,87.0,120.0,0.725,reVLAT_Viz+Choices,Gemini
Area Chart,3,Determine Range,determine range,15.0,120.0,0.125,reVLAT_Viz+Choices,Gemini
Area Chart,4,Find Correlations/Trends,find correlations/trends,120.0,120.0,1.0,reVLAT_Viz+Choices,Gemini
Stacked Area Chart,1,Retrieve Value (absolute value),retrieve value,42.0,120.0,0.35,reVLAT_Viz+Choices,Gemini
Stacked Area Chart,2,Retrieve Value (relative value),retrieve value,36.0,120.0,0.3,reVLAT_Viz+Choices,Gemini
Stacked Area Chart,3,Find Extremum,find extremum,1.0,120.0,0.008333333333333333,reVLAT_Viz+Choices,Gemini
Stacked Area Chart,4,Find Correlations/Trends,find correlations/trends,86.0,120.0,0.7166666666666667,reVLAT_Viz+Choices,Gemini
Stacked Area Chart,5,Make Comparisons (absolute value),make comparisons,119.0,120.0,0.9916666666666667,reVLAT_Viz+Choices,Gemini
Stacked Area Chart,6,Make Comparisons (relative value),make comparisons,120.0,120.0,1.0,reVLAT_Viz+Choices,Gemini
Choropleth Map,1,Retrieve Value,retrieve value,0.0,120.0,0.0,reVLAT_Viz+Choices,Gemini
Choropleth Map,2,Find Extremum,find extremum,86.0,120.0,0.7166666666666667,reVLAT_Viz+Choices,Gemini
Choropleth Map,3,Make Comparisons,make comparisons,0.0,120.0,0.0,reVLAT_Viz+Choices,Gemini
Treemap,1,Find Extremum (relative value),find extremum,0.0,120.0,0.0,reVLAT_Viz+Choices,Gemini
Treemap,2,Make Comparisons (relative value),make comparisons,63.0,120.0,0.525,reVLAT_Viz+Choices,Gemini
Treemap,3,Identify the Hierarchical Structure,identify the hierarchical structure,0.0,120.0,0.0,reVLAT_Viz+Choices,Gemini
Line Chart,1,Retrieve Value,retrieve value,34.0,120.0,0.2833333333333333,reVLAT_NoViz+Choices,Gemini
Line Chart,2,Find Extremum,find extremum,26.0,120.0,0.21666666666666667,reVLAT_NoViz+Choices,Gemini
Line Chart,3,Determine Range,determine range,30.0,120.0,0.25,reVLAT_NoViz+Choices,Gemini
Line Chart,4,Find Correlations/Trends,find correlations/trends,6.0,120.0,0.05,reVLAT_NoViz+Choices,Gemini
Line Chart,5,Make Comparisons,make comparisons,24.0,120.0,0.2,reVLAT_NoViz+Choices,Gemini
Bar Chart,1,Retrieve Value,retrieve value,69.0,120.0,0.575,reVLAT_NoViz+Choices,Gemini
Bar Chart,2,Find Extremum,find extremum,3.0,120.0,0.025,reVLAT_NoViz+Choices,Gemini
Bar Chart,3,Determine Range,determine range,91.0,120.0,0.7583333333333333,reVLAT_NoViz+Choices,Gemini
Bar Chart,4,Make Comparisons,make comparisons,30.0,120.0,0.25,reVLAT_NoViz+Choices,Gemini
Stacked Bar Chart,1,Retrieve Value (absolute value),retrieve value,29.0,120.0,0.24166666666666667,reVLAT_NoViz+Choices,Gemini
Stacked Bar Chart,2,Retrieve Value (relative value),retrieve value,42.0,120.0,0.35,reVLAT_NoViz+Choices,Gemini
Stacked Bar Chart,3,Find Extremum,find extremum,2.0,120.0,0.016666666666666666,reVLAT_NoViz+Choices,Gemini
Stacked Bar Chart,4,Make Comparisons (absolute value),make comparisons,29.0,120.0,0.24166666666666667,reVLAT_NoViz+Choices,Gemini
Stacked Bar Chart,5,Make Comparisons (relative value),make comparisons,14.0,120.0,0.11666666666666667,reVLAT_NoViz+Choices,Gemini
100% Stacked Bar Chart,1,Retrieve value (relative value),retrieve value,18.0,120.0,0.15,reVLAT_NoViz+Choices,Gemini
100% Stacked Bar Chart,2,Find Extremum (relative value),find extremum,3.0,120.0,0.025,reVLAT_NoViz+Choices,Gemini
100% Stacked Bar Chart,3,Make Comparisons (relative value),make comparisons,104.0,120.0,0.8666666666666667,reVLAT_NoViz+Choices,Gemini
Pie Chart,1,Retrieve Value (relative value),retrieve value,7.0,120.0,0.058333333333333334,reVLAT_NoViz+Choices,Gemini
Pie Chart,2,Find Extremum (relative value),find extremum,108.0,120.0,0.9,reVLAT_NoViz+Choices,Gemini
Pie Chart,3,Make Comparisons (relative value),make comparisons,2.0,120.0,0.016666666666666666,reVLAT_NoViz+Choices,Gemini
Histogram,1,Retrieve value (derived value),retrieve value,32.0,120.0,0.26666666666666666,reVLAT_NoViz+Choices,Gemini
Histogram,2,Find Extremum (derived value),find extremum,20.0,120.0,0.16666666666666666,reVLAT_NoViz+Choices,Gemini
Histogram,3,Make Comparisons (derived value),make comparisons,2.0,120.0,0.016666666666666666,reVLAT_NoViz+Choices,Gemini
Scatterplot,1,Retrieve Value,retrieve value,48.0,120.0,0.4,reVLAT_NoViz+Choices,Gemini
Scatterplot,2,Find Extremum,find extremum,95.0,120.0,0.7916666666666666,reVLAT_NoViz+Choices,Gemini
Scatterplot,3,Determine Range,determine range,54.0,120.0,0.45,reVLAT_NoViz+Choices,Gemini
Scatterplot,4,Find Anomalies,find anomalies,0.0,120.0,0.0,reVLAT_NoViz+Choices,Gemini
Scatterplot,5,Find Clusters,find clusters,13.0,120.0,0.10833333333333334,reVLAT_NoViz+Choices,Gemini
Scatterplot,6,Find Correlations/Trends,find correlations/trends,3.0,120.0,0.025,reVLAT_NoViz+Choices,Gemini
Scatterplot,7,Make Comparisons,make comparisons,88.0,120.0,0.7333333333333333,reVLAT_NoViz+Choices,Gemini
Bubble Chart,1,Retrieve Value,retrieve value,7.0,120.0,0.058333333333333334,reVLAT_NoViz+Choices,Gemini
Bubble Chart,2,Find extremum,find extremum,7.0,120.0,0.058333333333333334,reVLAT_NoViz+Choices,Gemini
Bubble Chart,3,Determine range,determine range,31.0,120.0,0.25833333333333336,reVLAT_NoViz+Choices,Gemini
Bubble Chart,4,Find anomalies,find anomalies,30.0,120.0,0.25,reVLAT_NoViz+Choices,Gemini
Bubble Chart,5,Find clusters,find clusters,45.0,120.0,0.375,reVLAT_NoViz+Choices,Gemini
Bubble Chart,6,Find correlations/trends,find correlations/trends,116.0,120.0,0.9666666666666667,reVLAT_NoViz+Choices,Gemini
Bubble Chart,7,Make comparisons,make comparisons,86.0,120.0,0.7166666666666667,reVLAT_NoViz+Choices,Gemini
Area Chart,1,Retrieve Value,retrieve value,19.0,120.0,0.15833333333333333,reVLAT_NoViz+Choices,Gemini
Area Chart,2,Find Extremum,find extremum,44.0,120.0,0.36666666666666664,reVLAT_NoViz+Choices,Gemini
Area Chart,3,Determine Range,determine range,23.0,120.0,0.19166666666666668,reVLAT_NoViz+Choices,Gemini
Area Chart,4,Find Correlations/Trends,find correlations/trends,81.0,120.0,0.675,reVLAT_NoViz+Choices,Gemini
Stacked Area Chart,1,Retrieve Value (absolute value),retrieve value,33.0,120.0,0.275,reVLAT_NoViz+Choices,Gemini
Stacked Area Chart,2,Retrieve Value (relative value),retrieve value,39.0,120.0,0.325,reVLAT_NoViz+Choices,Gemini
Stacked Area Chart,3,Find Extremum,find extremum,4.0,120.0,0.03333333333333333,reVLAT_NoViz+Choices,Gemini
Stacked Area Chart,4,Find Correlations/Trends,find correlations/trends,20.0,120.0,0.16666666666666666,reVLAT_NoViz+Choices,Gemini
Stacked Area Chart,5,Make Comparisons (absolute value),make comparisons,111.0,120.0,0.925,reVLAT_NoViz+Choices,Gemini
Stacked Area Chart,6,Make Comparisons (relative value),make comparisons,59.0,120.0,0.49166666666666664,reVLAT_NoViz+Choices,Gemini
Choropleth Map,1,Retrieve Value,retrieve value,10.0,120.0,0.08333333333333333,reVLAT_NoViz+Choices,Gemini
Choropleth Map,2,Find Extremum,find extremum,57.0,120.0,0.475,reVLAT_NoViz+Choices,Gemini
Choropleth Map,3,Make Comparisons,make comparisons,8.0,120.0,0.06666666666666667,reVLAT_NoViz+Choices,Gemini
Treemap,1,Find Extremum (relative value),find extremum,1.0,120.0,0.008333333333333333,reVLAT_NoViz+Choices,Gemini
Treemap,2,Make Comparisons (relative value),make comparisons,108.0,120.0,0.9,reVLAT_NoViz+Choices,Gemini
Treemap,3,Identify the Hierarchical Structure,identify the hierarchical structure,23.0,120.0,0.19166666666666668,reVLAT_NoViz+Choices,Gemini
